region_code,region_lat_center,region_lon_center,event_count,mag_mean,mag_max,depth_mean,sig_mean,tsunami_rate,event_share
G067_121,78.75,123.75,15,4.46,5.4,10.0,307.6666666666667,0.0,5.012512903043631e-06
G014_070,-53.75,-3.75,15,4.913333333333333,5.9,10.0,375.3333333333333,0.0,5.012512903043631e-06
G052_087,41.25,38.75,15,3.6733333333333333,4.8,10.306666666666667,212.8,0.0,5.012512903043631e-06
G052_117,41.25,113.75,15,3.2800000000000002,4.9,16.312,208.46666666666667,0.0,5.012512903043631e-06
G053_066,43.75,-13.75,15,3.9266666666666667,4.6,3.3333333333333335,242.0,0.0,5.012512903043631e-06
G058_115,56.25,108.75,15,4.073333333333333,5.3,10.294,258.2,0.0,5.012512903043631e-06
G044_108,21.25,91.25,15,4.42,5.5,18.7958,304.4,0.0,5.012512903043631e-06
G037_033,3.75,-96.25,15,4.658,5.5,10.0,336.46666666666664,0.0,5.012512903043631e-06
G045_119,23.75,118.75,15,4.1866666666666665,5.7,12.2802,293.1333333333333,0.0,5.012512903043631e-06
G058_003,56.25,-171.25,15,3.08,4.3,15.9262,148.46666666666667,0.0,5.012512903043631e-06
G022_132,-33.75,151.25,15,3.0533333333333332,4.6,7.063866666666667,157.73333333333332,0.0,5.012512903043631e-06
G026_123,-23.75,128.75,15,3.5266666666666664,4.9,7.8,199.13333333333333,0.0,5.012512903043631e-06
G031_135,-11.25,158.75,15,4.34,4.8,12.1256,290.73333333333335,0.0,5.012512903043631e-06
G053_121,43.75,123.75,15,4.64,5.3,13.318666666666667,348.0,0.0,5.012512903043631e-06
G070_077,86.25,13.75,15,4.346666666666667,4.9,10.0,292.06666666666666,0.0,5.012512903043631e-06
G022_118,-33.75,116.25,14,3.85,5.3,7.672142857142857,274.7857142857143,0.0,4.678345376174056e-06
G061_021,63.75,-126.25,14,3.8428571428571425,5.3,3.4085714285714284,234.0,0.0,4.678345376174056e-06
G044_122,21.25,126.25,14,4.371428571428572,4.8,17.75142857142857,295.07142857142856,0.0,4.678345376174056e-06
G015_043,-51.25,-71.25,14,4.642857142857143,5.4,17.8385,334.07142857142856,0.0,4.678345376174056e-06
G062_001,66.25,-176.25,14,3.4214285714285713,4.2,17.157142857142855,184.85714285714286,0.0,4.678345376174056e-06
G009_116,-66.25,111.25,14,4.0928571428571425,5.7,9.642857142857142,282.14285714285717,0.0,4.678345376174056e-06
G033_087,-6.25,38.75,14,4.3,6.0,11.223571428571429,317.85714285714283,0.0,4.678345376174056e-06
G058_069,56.25,-6.25,14,2.457142857142857,3.8,9.03357142857143,112.14285714285714,0.0,4.678345376174056e-06
G055_072,48.75,1.25,14,2.685714285714286,3.5,5.214285714285714,114.14285714285714,0.0,4.678345376174056e-06
G048_096,31.25,61.25,14,3.942857142857143,4.8,15.969285714285714,259.0,0.0,4.678345376174056e-06
G050_114,36.25,106.25,14,3.935714285714286,4.7,15.527142857142858,256.92857142857144,0.0,4.678345376174056e-06
G046_085,26.25,33.75,14,4.271428571428571,5.5,10.275,284.0,0.0,4.678345376174056e-06
G014_127,-53.75,138.75,14,4.4,4.6,10.0,298.57142857142856,0.0,4.678345376174056e-06
G033_135,-6.25,158.75,14,3.9642857142857144,5.1,42.27357142857143,262.07142857142856,0.0,4.678345376174056e-06
G026_082,-23.75,26.25,14,4.6000000000000005,6.5,12.174999999999999,387.07142857142856,0.0,4.678345376174056e-06
G040_039,11.25,-81.25,14,4.428571428571429,5.8,16.324714285714286,305.64285714285717,0.0,4.678345376174056e-06
G011_135,-61.25,158.75,14,4.72,5.2,10.0,344.64285714285717,0.0,4.678345376174056e-06
G023_132,-31.25,151.25,14,3.757142857142857,4.8,8.565642857142857,245.35714285714286,0.0,4.678345376174056e-06
G017_086,-46.25,36.25,14,5.1000000000000005,6.4,10.428571428571429,409.2142857142857,0.0,4.678345376174056e-06
G053_031,43.75,-101.25,14,3.0500000000000003,4.0,7.0595,174.21428571428572,0.0,4.678345376174056e-06
G014_023,-53.75,-121.25,14,4.8,5.2,10.327142857142858,355.85714285714283,0.0,4.678345376174056e-06
G032_125,-8.75,133.75,14,4.371428571428572,5.0,10.920714285714286,296.07142857142856,0.0,4.678345376174056e-06
G045_096,23.75,61.25,14,4.55,5.3,14.959999999999999,320.7142857142857,0.0,4.678345376174056e-06
G015_120,-51.25,121.25,14,4.571428571428571,5.7,9.459999999999999,324.42857142857144,0.0,4.678345376174056e-06
G013_012,-56.25,-148.75,14,4.963571428571428,5.7,10.352857142857143,381.0,0.0,4.678345376174056e-06
G025_027,-26.25,-111.25,14,4.6571428571428575,5.5,10.012857142857143,336.35714285714283,0.0,4.678345376174056e-06
G055_045,48.75,-66.25,14,3.35,4.2,16.678571428571427,181.0,0.14285714285714285,4.678345376174056e-06
G054_039,46.25,-81.25,14,2.992857142857143,4.1,4.260714285714285,145.14285714285714,0.0,4.678345376174056e-06
G036_099,1.25,68.75,14,4.4,5.5,10.347142857142858,322.92857142857144,0.0,4.678345376174056e-06
G029_083,-16.25,28.75,14,4.392857142857143,4.9,10.202428571428571,300.35714285714283,0.0,4.678345376174056e-06
G049_093,33.75,53.75,13,4.246153846153846,4.9,11.7,278.3076923076923,0.0,4.344177849304481e-06
G048_037,31.25,-86.25,13,2.569230769230769,3.8,5.633076923076923,113.76923076923077,0.0,4.344177849304481e-06
G060_001,61.25,-176.25,13,3.9538461538461536,4.9,13.129999999999999,243.46153846153845,0.0,4.344177849304481e-06
G057_107,53.75,88.75,13,2.9615384615384617,4.6,16.333692307692306,195.15384615384616,0.0,4.344177849304481e-06
G016_099,-48.75,68.75,13,4.630769230769231,5.3,13.005384615384616,331.0,0.0,4.344177849304481e-06
